sex,age,parch,fare,class,embark_town
1,45.0,0,26.55,1,1
1,36.0,0,7.8958,3,1
2,32.0,0,13.0,2,1
2,19.0,0,7.8542,3,1
1,3.0,1,26.0,2,1
2,44.0,0,27.7208,1,2
2,58.0,0,146.5208,1,2
1,28.0,0,7.75,3,3
2,28.0,0,7.75,3,3
2,24.0,0,13.0,2,1
1,28.0,0,9.5,3,1
1,28.0,2,69.55,3,1
1,34.0,0,6.4958,3,1
2,2.0,1,10.4625,3,1
1,32.0,0,15.85,3,1
1,26.0,0,18.7875,3,2
2,16.0,0,7.75,3,3
1,40.0,0,31.0,1,2
2,35.0,0,21.0,2,1
1,22.0,0,7.25,3,1
1,28.0,0,7.75,3,3
2,31.0,0,113.275,1,2
2,27.0,0,7.925,3,1
1,42.0,0,27.0,2,1
1,30.0,0,10.5,2,1
1,16.0,0,8.05,3,1
1,51.0,0,8.05,3,1
1,22.0,0,9.35,3,1
1,19.0,0,10.5,2,1
1,20.5,0,7.25,3,1
1,18.0,0,13.0,2,1
2,28.0,1,25.4667,3,1
2,35.0,0,83.475,1,1
1,29.0,0,7.775,3,1
1,59.0,0,13.5,2,1
2,28.0,0,7.55,3,1
1,44.0,0,26.0,2,1
1,19.0,0,10.5,2,1
1,33.0,0,12.275,2,1
2,28.0,0,14.4542,3,2
2,28.0,0,15.5,3,3
1,22.0,0,7.125,3,1
1,30.0,0,7.225,3,2
1,44.0,0,90.0,1,3
2,24.0,2,14.5,2,1
1,28.0,0,7.25,3,1
2,29.0,1,10.4625,3,1
1,30.0,0,16.1,3,1
2,41.0,2,20.2125,3,1
2,28.0,0,79.2,1,2
2,35.0,0,512.3292,1,2
2,50.0,1,26.0,2,1
1,28.0,0,7.75,3,3
1,3.0,2,31.3875,3,1
1,40.0,0,0.0,1,1
2,28.0,0,7.75,3,3
1,36.0,0,10.5,2,1
1,16.0,1,39.6875,3,1
1,25.0,0,7.775,3,1
2,58.0,1,153.4625,1,1
2,35.0,0,135.6333,1,1
1,28.0,0,31.0,1,1
1,25.0,0,0.0,3,1
2,41.0,1,19.5,2,1
1,37.0,1,29.7,1,2
2,28.0,0,7.75,3,3
2,63.0,0,77.9583,1,1
2,45.0,0,7.75,3,1
1,28.0,0,0.0,2,1
1,7.0,1,29.125,3,3
2,35.0,1,20.25,3,1
1,28.0,0,7.8542,3,1
1,16.0,0,9.5,3,1
1,28.0,0,26.0,1,1
2,26.0,0,78.85,1,1
1,36.0,0,12.875,2,2
1,24.0,0,7.8958,3,1
1,28.0,0,30.5,1,1
2,50.0,1,247.5208,1,2
2,28.0,0,7.75,3,3
1,19.0,0,0.0,3,1
2,28.0,0,12.35,2,3
1,28.0,0,8.05,3,1
2,28.0,0,110.8833,1,2
2,17.0,0,108.9,1,2
1,30.0,0,24.0,2,2
2,30.0,0,56.9292,1,2
2,24.0,0,83.1583,1,2
2,18.0,2,262.375,1,2
2,26.0,1,26.0,2,1
1,28.0,0,7.8958,3,1
1,43.0,1,26.25,2,1
2,24.0,0,26.0,2,1
2,31.0,2,164.8667,1,1
2,40.0,1,134.5,1,2
1,22.0,0,7.25,3,1
1,27.0,0,7.8958,3,1
2,22.0,1,29.0,2,1
1,28.0,2,69.55,3,1
2,36.0,0,135.6333,1,2
1,61.0,0,6.2375,3,1
2,31.0,1,20.525,3,1
2,28.0,0,23.25,3,3
1,38.0,1,153.4625,1,1
2,28.0,0,133.65,1,1
1,28.0,0,7.8958,3,1
1,29.0,0,66.6,1,1
1,45.0,0,8.05,3,1
1,45.0,0,35.5,1,1
1,28.0,0,13.0,2,1
1,25.0,0,13.0,2,1
1,36.0,0,13.0,2,1
2,24.0,0,13.0,2,1
2,40.0,0,13.0,2,1
2,28.0,0,16.1,3,1
1,15.0,1,7.2292,3,2
1,25.0,0,17.8,3,1
1,28.0,0,7.225,3,2
1,28.0,0,9.5,3,1
2,22.0,1,55.0,1,1
2,38.0,0,13.0,2,1
2,28.0,0,7.8792,3,3
2,28.0,0,7.8792,3,3
1,40.0,4,27.9,3,1
1,29.0,0,27.7208,2,2
2,45.0,1,14.4542,3,2
1,35.0,0,7.05,3,1
1,28.0,0,15.5,3,3
2,60.0,0,75.25,1,2
2,28.0,0,7.2292,3,2
2,28.0,0,7.75,3,3
2,24.0,0,69.3,1,2
1,18.0,0,6.4958,3,1
1,19.0,0,8.05,3,1
2,28.0,0,82.1708,1,2
1,27.0,2,211.5,1,2
1,19.0,0,7.775,3,1
2,42.0,0,227.525,1,2
1,32.0,0,7.925,3,1
1,28.0,0,7.8958,3,1
1,18.0,0,73.5,2,1
1,1.0,2,46.9,3,1
1,28.0,0,7.7292,3,3
2,17.0,0,12.0,2,2
1,36.0,2,120.0,1,1
1,21.0,0,7.7958,3,1
2,23.0,0,113.275,1,2
2,24.0,2,16.7,3,1
1,22.0,0,7.7958,3,1
2,31.0,0,7.8542,3,1
1,46.0,0,26.0,2,1
1,23.0,0,10.5,2,1
1,39.0,0,7.925,3,1
1,26.0,0,8.05,3,1
1,28.0,0,15.85,3,1
1,34.0,0,21.0,2,1
1,3.0,1,18.75,2,1
1,21.0,0,7.775,3,1
2,28.0,1,25.4667,3,1
1,28.0,0,7.8958,3,1
1,28.0,0,6.8583,3,3
1,28.0,0,0.0,2,1
1,44.0,0,7.925,3,1
2,28.0,0,8.05,3,1
2,34.0,1,32.5,2,1
2,18.0,2,13.0,2,1
1,30.0,0,13.0,2,1
1,28.0,0,7.8958,3,2
1,21.0,0,7.7333,3,3
1,18.0,1,20.2125,3,1
2,19.0,0,26.0,2,1
1,28.0,0,7.75,3,3
1,32.0,0,8.05,3,1
1,28.0,0,26.55,1,1
2,28.0,0,16.1,3,1
2,42.0,0,26.0,2,1
1,17.0,0,7.125,3,1
1,50.0,0,55.9,1,1
2,14.0,2,120.0,1,1
2,24.0,3,18.75,2,1
1,64.0,4,263.0,1,1
1,31.0,0,10.5,2,1
2,45.0,1,26.25,2,1
1,20.0,0,9.5,3,1
2,28.0,0,13.0,2,1
1,28.0,0,8.1125,3,1
1,34.0,0,26.55,1,1
2,5.0,1,19.2583,3,2
1,52.0,0,30.5,1,1
1,36.0,2,27.75,2,1
1,30.0,0,27.75,1,2
1,49.0,0,89.1042,1,2
1,29.0,0,7.8958,3,2
1,65.0,0,26.55,1,1
2,28.0,0,51.8625,1,1
1,48.0,0,26.55,1,1
1,34.0,0,8.05,3,1
1,47.0,0,38.5,1,1
1,28.0,0,8.05,3,1
1,38.0,0,7.05,3,1
1,56.0,0,26.55,1,1
1,28.0,0,7.725,3,3
2,0.75,1,19.2583,3,2
1,28.0,0,7.25,3,1
2,33.0,2,27.75,2,1
2,23.0,0,13.7917,2,2
1,28.0,0,52.0,1,1
1,34.0,0,21.0,2,1
1,29.0,0,7.0458,3,1
2,2.0,1,12.2875,3,1
1,9.0,2,46.9,3,1
1,28.0,0,0.0,2,1
2,63.0,0,9.5875,3,1
1,25.0,0,91.0792,1,2
2,28.0,1,25.4667,3,1
2,35.0,0,90.0,1,1
1,58.0,0,29.7,1,2
1,9.0,1,15.9,3,1
1,28.0,0,19.9667,3,1
1,71.0,0,49.5042,1,2
1,21.0,0,8.05,3,1
2,25.0,2,151.55,1,1
1,17.0,0,8.6625,3,1
2,21.0,0,7.75,3,3
2,37.0,0,9.5875,3,1
1,18.0,0,108.9,1,2
2,33.0,2,26.0,2,1
1,28.0,0,26.55,1,1
1,26.0,0,56.4958,3,1
2,54.0,0,59.4,1,2
1,24.0,0,7.4958,3,1
1,47.0,0,34.0208,1,1
2,34.0,0,10.5,2,1
2,36.0,0,26.0,2,1
1,32.0,0,7.8958,3,1
2,30.0,0,93.5,1,1
1,22.0,0,7.8958,3,1
2,44.0,1,57.9792,1,2
1,28.0,0,7.2292,3,2
1,40.5,0,7.75,3,3
2,50.0,0,10.5,2,1
1,28.0,0,221.7792,1,1
1,23.0,1,11.5,2,1
2,2.0,1,26.0,2,1
1,17.0,1,7.2292,3,2
2,28.0,2,22.3583,3,2
2,30.0,0,8.6625,3,1
2,7.0,2,26.25,2,1
1,45.0,0,26.55,1,1
2,30.0,0,106.425,1,2
2,22.0,2,49.5,1,2
2,36.0,2,71.0,1,1
2,9.0,2,31.275,3,1
2,11.0,2,31.275,3,1
1,50.0,0,106.425,1,2
2,19.0,0,26.0,2,1
1,28.0,0,13.8625,2,2
1,33.0,1,20.525,3,1
1,17.0,2,110.8833,1,2
1,27.0,0,26.0,2,1
1,28.0,0,7.8292,3,3
2,22.0,0,7.775,3,1
2,48.0,0,39.6,1,2
1,28.0,0,227.525,1,2
2,39.0,1,79.65,1,1
2,36.0,0,17.4,3,1
1,28.0,0,7.75,3,3
1,40.0,0,7.8958,3,1
1,28.0,0,8.05,3,1
1,24.0,0,24.15,3,1
1,19.0,0,7.8958,3,1
2,29.0,4,21.075,3,1
1,32.0,0,7.8542,3,1
1,62.0,0,10.5,2,1
2,53.0,0,51.4792,1,1
1,36.0,0,26.3875,1,1
1,16.0,0,8.05,3,1
2,34.0,0,13.0,2,1
2,25.0,1,30.0,2,1
1,36.0,0,40.125,1,2
1,47.0,0,15.0,2,1
1,60.0,1,79.2,1,2
1,28.0,0,8.05,3,1
1,35.0,0,7.125,3,1
2,52.0,0,78.2667,1,2
1,47.0,0,7.25,3,1
2,28.0,2,7.75,3,3
1,37.0,0,26.0,2,1
1,36.0,1,24.15,3,1
2,28.0,0,33.0,2,1
1,49.0,0,0.0,3,1
1,28.0,0,7.225,3,2
1,49.0,0,56.9292,1,2
1,35.0,0,26.55,1,2
1,36.0,0,15.55,3,1
1,30.0,0,7.8958,3,1
1,27.0,0,30.5,1,1
2,22.0,2,41.5792,2,2
2,40.0,0,153.4625,1,1
2,39.0,5,31.275,3,1
1,28.0,0,7.05,3,1
2,28.0,0,15.5,3,3
1,35.0,0,8.05,3,1
2,24.0,2,65.0,2,1
1,34.0,1,14.4,3,1
1,26.0,0,10.5,2,1
1,20.0,1,15.7417,3,2
1,61.0,0,32.3208,1,1
1,57.0,0,12.35,2,3
2,21.0,0,77.9583,1,1
1,26.0,0,7.8958,3,1
1,28.0,0,7.7333,3,3
1,80.0,0,30.0,1,1
1,51.0,0,7.0542,3,1
1,32.0,0,30.5,1,2
2,9.0,2,27.9,3,1
2,28.0,0,13.0,2,1
1,32.0,0,7.925,3,1
2,41.0,5,39.6875,3,1
1,28.0,0,16.1,3,1
1,20.0,0,7.8542,3,1
1,28.0,0,56.4958,3,1
2,0.75,1,19.2583,3,2
1,48.0,0,76.7292,1,2
1,28.0,0,7.55,3,1
2,23.0,0,7.55,3,1
1,28.0,0,7.8958,3,1
2,18.0,1,23.0,2,1
1,21.0,0,8.4333,3,1
1,24.0,0,73.5,2,1
1,28.0,0,7.8958,3,1
2,32.0,1,15.5,3,3
1,50.0,0,133.65,1,1
1,47.0,0,25.5875,1,1
1,36.0,0,7.4958,3,1
1,20.0,0,7.925,3,1
1,25.0,0,13.0,2,1
1,28.0,0,7.775,3,1
1,43.0,0,8.05,3,1
2,40.0,1,39.0,2,1
1,31.0,0,52.0,1,1
1,31.0,0,13.0,2,1
1,28.0,0,0.0,2,1
1,18.0,0,7.775,3,1
2,18.0,0,9.8417,3,1
1,36.0,1,512.3292,1,2
1,27.0,0,76.7292,1,2
1,20.0,0,9.225,3,1
1,14.0,2,46.9,3,1
1,60.0,1,39.0,2,1
1,19.0,0,10.1708,3,1
1,18.0,0,7.7958,3,1
2,15.0,1,211.3375,1,1
1,31.0,0,57.0,1,1
2,4.0,1,13.4167,3,2
1,28.0,0,56.4958,3,1
1,60.0,0,26.55,1,1
2,28.0,0,7.7333,3,3
1,49.0,1,110.8833,1,2
1,35.0,0,26.2875,1,1
1,25.0,0,7.7417,3,3
1,39.0,0,26.0,2,1
2,22.0,0,151.55,1,1
1,28.0,1,15.2458,3,2
2,24.0,0,49.5042,1,2
1,28.0,0,26.55,1,1
1,48.0,0,52.0,1,1
1,29.0,0,9.4833,3,1
1,19.0,0,7.65,3,1
2,38.0,0,227.525,1,2
2,27.0,0,10.5,2,1
1,28.0,0,15.5,3,3
1,33.0,0,7.775,3,1
2,6.0,1,33.0,2,1
1,50.0,0,13.0,2,1
1,27.0,0,53.1,1,1
2,30.0,0,21.0,2,1
1,25.0,0,26.0,2,1
2,25.0,0,7.925,3,1
2,29.0,0,211.3375,1,1
1,11.0,0,18.7875,3,2
1,28.0,0,0.0,2,1
1,23.0,0,13.0,2,1
1,23.0,0,13.0,2,1
1,35.0,0,512.3292,1,2
1,28.0,0,7.8958,3,1
1,28.0,0,7.8958,3,1
1,36.0,0,78.85,1,1
2,21.0,2,262.375,1,2
1,24.0,0,16.1,3,1
1,70.0,1,71.0,1,1
2,4.0,1,23.0,2,1
1,6.0,1,12.475,3,1
1,33.0,0,9.5,3,1
1,23.0,0,7.8958,3,1
2,48.0,2,65.0,2,1
1,28.0,0,7.7958,3,1
1,34.0,0,8.05,3,1
1,28.0,0,14.5,3,1
1,41.0,0,7.125,3,1
1,20.0,0,7.2292,3,2
2,51.0,0,77.9583,1,1
1,28.0,0,39.6,1,2
1,28.0,0,24.15,3,3
1,32.0,0,8.3625,3,1
1,48.0,0,7.8542,3,1
2,57.0,0,10.5,2,1
1,18.0,0,7.75,3,1
1,28.0,0,7.75,3,3
2,5.0,0,12.475,3,1
2,17.0,0,57.0,1,1
1,29.0,0,30.0,1,1
1,28.0,2,23.45,3,1
1,25.0,0,7.05,3,1
1,1.0,2,20.575,3,1
1,46.0,0,79.2,1,2
1,28.0,0,7.75,3,3
1,16.0,0,26.0,2,1
2,28.0,2,69.55,3,1
1,28.0,0,30.6958,1,2
1,25.0,0,7.8958,3,1
1,39.0,0,13.0,2,1
2,49.0,0,25.9292,1,1
2,31.0,0,8.6833,3,1
1,30.0,0,7.2292,3,2
2,30.0,1,24.15,3,1
1,34.0,0,13.0,2,1
2,31.0,1,26.25,2,1
1,11.0,2,120.0,1,1
1,31.0,0,7.775,3,1
1,39.0,0,0.0,1,1
1,39.0,0,13.0,2,1
2,33.0,0,53.1,1,1
1,26.0,0,7.8875,3,1
1,39.0,0,24.15,3,1
1,35.0,0,10.5,2,1
1,30.5,0,8.05,3,1
1,28.0,0,0.0,1,1
2,23.0,0,7.925,3,1
1,31.0,1,37.0042,2,2
1,10.0,2,27.9,3,1
2,52.0,1,93.5,1,1
1,27.0,0,8.6625,3,1
1,2.0,1,39.6875,3,1
1,28.0,0,6.95,3,3
1,28.0,0,56.4958,3,1
1,28.0,0,7.75,3,3
2,15.0,0,14.4542,3,2
1,28.0,0,7.2292,3,2
1,23.0,0,7.8542,3,1
1,18.0,0,8.3,3,1
2,39.0,1,83.1583,1,2
1,21.0,0,8.6625,3,1
1,28.0,0,8.05,3,1
1,28.0,0,29.7,1,2
1,16.0,0,10.5,2,1
2,30.0,0,31.0,1,2
1,34.5,0,6.4375,3,2
1,42.0,0,7.55,3,1
1,28.0,2,69.55,3,1
1,35.0,0,7.8958,3,2
1,28.0,1,33.0,2,1
2,28.0,0,89.1042,1,2
1,4.0,2,31.275,3,1
2,16.0,1,39.4,1,1
2,18.0,1,9.35,3,1
2,45.0,1,164.8667,1,1
1,51.0,0,26.55,1,1
2,24.0,3,19.2583,3,2
1,41.0,0,14.1083,3,1
1,24.0,0,13.0,2,1
2,42.0,0,13.0,2,1
2,27.0,0,13.8583,2,2
1,31.0,0,50.4958,1,1
1,4.0,1,11.1333,3,1
1,26.0,0,7.8958,3,1
2,47.0,1,52.5542,1,1
1,33.0,0,5.0,1,1
1,47.0,0,9.0,3,1
2,28.0,0,24.0,2,2
2,15.0,0,7.225,3,2
1,20.0,0,9.8458,3,1
1,19.0,0,7.8958,3,1
1,28.0,0,7.8958,3,1
2,22.0,0,10.5167,3,1
1,28.0,0,10.5,2,1
1,25.0,0,7.05,3,1
2,19.0,0,30.0,1,1
2,28.0,2,23.45,3,1
1,32.0,0,7.75,3,3
